,Unnamed: 0,alg,country,h_cat,key_phrases,key_words,kmeans_augmented,label,lda,links,pmi,tfidf
170,10,kmeans_augmented,1,0.0,0.0,1.0,1,dishes,0.0,0.0,0.017094103224460932,0.006525176212297761
171,11,kmeans_augmented,1,0.0,0.0,1.0,1,cooked,0.0,0.0,0.015109004261541138,0.005757983204255658
172,12,kmeans_augmented,1,0.0,0.0,1.0,1,served,0.0,0.0,0.013850235860722909,0.005553897776001025
173,13,kmeans_augmented,1,0.0,0.0,1.0,1,preparation,0.0,0.0,0.01490854227586636,0.005414341345447929
174,14,kmeans_augmented,1,0.0,0.0,1.0,1,traditional,0.0,0.0,0.01366626150868228,0.00522940436136774
175,15,kmeans_augmented,1,0.0,0.0,1.0,1,recipe,0.0,0.0,0.0144132248532447,0.005165780168242309
176,16,kmeans_augmented,1,0.0,0.0,1.0,1,popular,0.0,0.0,0.012564545622645574,0.005053489293437705
177,17,kmeans_augmented,1,0.0,0.0,1.0,1,references,0.0,0.0,0.011490828866564318,0.0050067963789441885
178,18,kmeans_augmented,1,0.0,0.0,1.0,1,ingredients,0.0,0.0,0.012722094547183344,0.004725433521784322
179,19,kmeans_augmented,1,0.0,0.0,1.0,1,called,0.0,0.0,0.011021361380166406,0.0046161075205979046
180,20,kmeans_augmented,2,0.0,0.0,1.0,1,restaurant,0.0,0.0,0.02857981633167803,0.007792713564424363
181,21,kmeans_augmented,2,0.0,0.0,1.0,1,chef,0.0,0.0,0.033295021637560145,0.006979572637414401
182,22,kmeans_augmented,2,0.0,0.0,1.0,1,opened,0.0,0.0,0.024689479821549527,0.00680162779088041
183,23,kmeans_augmented,2,0.0,0.0,1.0,1,award,0.0,0.0,0.030830729253368064,0.006523522351697996
184,24,kmeans_augmented,2,0.0,0.0,1.0,1,work,0.0,0.0,0.02396974485538254,0.006466862752535421
185,25,kmeans_augmented,2,0.0,0.0,1.0,1,new,0.0,0.0,0.016180958767824268,0.006342277273280775
186,26,kmeans_augmented,2,0.0,0.0,1.0,1,york,0.0,0.0,0.02560446308689905,0.005916294742845003
187,27,kmeans_augmented,2,0.0,0.0,1.0,1,kitchen,0.0,0.0,0.029558545469331836,0.005862805343535585
188,28,kmeans_augmented,2,0.0,0.0,1.0,1,city,0.0,0.0,0.02000780355697221,0.0057694452028664535
189,29,kmeans_augmented,2,0.0,0.0,1.0,1,house,0.0,0.0,0.025125598164614432,0.0057149079352138395
190,30,kmeans_augmented,3,0.0,0.0,1.0,1,company,0.0,0.0,0.020268680967625158,0.00780603530836548
191,31,kmeans_augmented,3,0.0,0.0,1.0,1,brands,0.0,0.0,0.0196638658878052,0.006562885705786989
192,32,kmeans_augmented,3,0.0,0.0,1.0,1,operations,0.0,0.0,0.018341056883133502,0.005565000727249832
193,33,kmeans_augmented,3,0.0,0.0,1.0,1,marketing,0.0,0.0,0.01669332822356771,0.005451218401490447
194,34,kmeans_augmented,3,0.0,0.0,1.0,1,united,0.0,0.0,0.012937518031602929,0.005295938719671164
195,35,kmeans_augmented,3,0.0,0.0,1.0,1,business,0.0,0.0,0.016372390771783745,0.005230424879685899
196,36,kmeans_augmented,3,0.0,0.0,1.0,1,advertising,0.0,0.0,0.018074464955978437,0.0051905543000512425
197,37,kmeans_augmented,3,0.0,0.0,1.0,1,sales,0.0,0.0,0.01631176298017601,0.005106432408586697
198,38,kmeans_augmented,3,0.0,0.0,1.0,1,chains,0.0,0.0,0.01747599150610385,0.005064277726623727
199,39,kmeans_augmented,3,0.0,0.0,1.0,1,sold,0.0,0.0,0.014776128919794553,0.005044725310424224
200,40,kmeans_augmented,4,0.0,0.0,1.0,1,beers,0.0,0.0,0.026766227670930298,0.00582830814657924
201,41,kmeans_augmented,4,0.0,0.0,1.0,1,alcohol,0.0,0.0,0.02301415663637446,0.005370041157228254
