,project,cluster_alg,cluster_num,label_name,exposures,count,share,borda,avg_borda
203,internet,LDA,2,youtube,32,2,0.0625,4,0.125
204,internet,LDA,2,e-commerce,64,28,0.4375,100,1.5625
205,internet,LDA,2,music,32,1,0.03125,3,0.09375
206,internet,LDA,2,online_services,32,23,0.71875,83,2.59375
207,internet,LDA,2,website,32,13,0.40625,34,1.0625
208,internet,LDA,2,san_francisco,32,0,0.0,0,0.0
209,internet,LDA,2,announced,32,0,0.0,0,0.0
210,internet,LDA,2,service,32,5,0.15625,15,0.46875
211,internet,LDA,2,internet_companies,32,18,0.5625,55,1.71875
212,food,kmeans_augmented,3,locations,23,0,0.0,0,0.0
213,food,kmeans_augmented,3,company,23,6,0.2608695652173913,18,0.782608695652174
214,food,kmeans_augmented,3,food_and_drink_companies_by_year_of_establishment,23,9,0.391304347826087,22,0.9565217391304348
215,food,kmeans_augmented,3,white,23,1,0.043478260869565216,3,0.13043478260869565
216,food,kmeans_augmented,3,fast_food,23,11,0.4782608695652174,37,1.608695652173913
217,food,kmeans_augmented,3,united_states,23,0,0.0,0,0.0
218,food,kmeans_augmented,3,cultivate,23,1,0.043478260869565216,2,0.08695652173913043
219,food,kmeans_augmented,3,green,23,0,0.0,0,0.0
220,food,kmeans_augmented,3,stores,23,6,0.2608695652173913,15,0.6521739130434783
221,food,kmeans_augmented,3,brand,23,7,0.30434782608695654,22,0.9565217391304348
222,food,kmeans_augmented,3,chain,23,3,0.13043478260869565,9,0.391304347826087
223,food,kmeans_augmented,3,companies_by_industry_and_year_of_establishment,23,1,0.043478260869565216,2,0.08695652173913043
224,food,kmeans_augmented,3,food_product_brands,23,19,0.8260869565217391,87,3.782608695652174
225,food,kmeans_augmented,3,establishments_in_the_united_states_by_year,23,1,0.043478260869565216,3,0.13043478260869565
226,food,kmeans_augmented,3,juice,23,2,0.08695652173913043,7,0.30434782608695654
227,food,kmeans_augmented,3,early,23,0,0.0,0,0.0
228,food,kmeans_augmented,3,soft_drink,23,5,0.21739130434782608,10,0.43478260869565216
229,food,kmeans_augmented,3,brands,46,28,0.6086956521739131,106,2.3043478260869565
230,food,kmeans_augmented,3,the_coca-cola_company,23,1,0.043478260869565216,5,0.21739130434782608
231,food,kmeans_augmented,3,operations,23,2,0.08695652173913043,3,0.13043478260869565
232,food,kmeans_augmented,3,united_kingdom,23,1,0.043478260869565216,1,0.043478260869565216
233,food,kmeans_augmented,3,marketing,23,5,0.21739130434782608,11,0.4782608695652174
234,food,kmeans_augmented,3,united,23,0,0.0,0,0.0
235,media,kmeans_augmented,6,establishments_by_country_and_year,17,1,0.058823529411764705,1,0.058823529411764705
236,media,kmeans_augmented,6,serve,17,0,0.0,0,0.0
237,media,kmeans_augmented,6,london,17,0,0.0,0,0.0
238,media,kmeans_augmented,6,media_in_europe_by_country,17,9,0.5294117647058824,37,2.176470588235294
239,media,kmeans_augmented,6,community,17,0,0.0,0,0.0
240,media,kmeans_augmented,6,service,17,1,0.058823529411764705,5,0.29411764705882354
241,media,kmeans_augmented,6,media_by_country,17,13,0.7647058823529411,54,3.176470588235294
242,media,kmeans_augmented,6,radio,17,2,0.11764705882352941,7,0.4117647058823529
243,media,kmeans_augmented,6,news,17,11,0.6470588235294118,40,2.3529411764705883
244,media,kmeans_augmented,6,bbc,34,0,0.0,0,0.0
245,media,kmeans_augmented,6,establishments_by_year_and_country,17,0,0.0,0,0.0
246,media,kmeans_augmented,6,radio_station,17,0,0.0,0,0.0
247,media,kmeans_augmented,6,united_kingdom,17,0,0.0,0,0.0
248,media,kmeans_augmented,6,reference,17,0,0.0,0,0.0
249,media,kmeans_augmented,6,establishments_in_europe_by_year,17,2,0.11764705882352941,5,0.29411764705882354
250,media,kmeans_augmented,6,regional,17,1,0.058823529411764705,2,0.11764705882352941
251,media,kmeans_augmented,6,reporters_without_borders,17,1,0.058823529411764705,4,0.23529411764705882
252,media,kmeans_augmented,6,broadcast,17,10,0.5882352941176471,36,2.1176470588235294
253,media,kmeans_augmented,6,tv,17,2,0.11764705882352941,6,0.35294117647058826
254,media,kmeans_augmented,6,group,17,1,0.058823529411764705,2,0.11764705882352941
255,media,kmeans_augmented,6,edition,17,1,0.058823529411764705,3,0.17647058823529413
256,media,kmeans_augmented,6,newspaper,17,1,0.058823529411764705,2,0.11764705882352941
257,media,kmeans_augmented,6,government,17,1,0.058823529411764705,3,0.17647058823529413
258,food,kmeans_augmented,4,wines,13,3,0.23076923076923078,7,0.5384615384615384
259,food,kmeans_augmented,4,episode,13,0,0.0,0,0.0
260,food,kmeans_augmented,4,beers,13,1,0.07692307692307693,4,0.3076923076923077
261,food,kmeans_augmented,4,cocktail,13,5,0.38461538461538464,14,1.0769230769230769
262,food,kmeans_augmented,4,wine,26,2,0.07692307692307693,10,0.38461538461538464
263,food,kmeans_augmented,4,grapes,13,1,0.07692307692307693,4,0.3076923076923077
264,food,kmeans_augmented,4,describe,13,0,0.0,0,0.0
265,food,kmeans_augmented,4,alcohol,26,18,0.6923076923076923,60,2.3076923076923075
266,food,kmeans_augmented,4,alcoholic_drinks,13,6,0.46153846153846156,21,1.6153846153846154
267,food,kmeans_augmented,4,alcoholic_beverage,13,9,0.6923076923076923,33,2.5384615384615383
268,food,kmeans_augmented,4,take,13,0,0.0,0,0.0
269,food,kmeans_augmented,4,produced,13,1,0.07692307692307693,3,0.23076923076923078
270,food,kmeans_augmented,4,alcoholic_drinks_by_country,13,7,0.5384615384615384,24,1.8461538461538463
271,food,kmeans_augmented,4,new_york,13,2,0.15384615384615385,7,0.5384615384615384
272,food,kmeans_augmented,4,bottle,13,0,0.0,0,0.0
273,food,kmeans_augmented,4,fermented_drinks,13,8,0.6153846153846154,20,1.5384615384615385
274,food,kmeans_augmented,4,place,13,1,0.07692307692307693,1,0.07692307692307693
275,food,kmeans_augmented,4,beer,13,1,0.07692307692307693,1,0.07692307692307693
276,food,kmeans_augmented,4,brewery,13,2,0.15384615384615385,8,0.6153846153846154
277,technology,LDA,0,wi-fi,27,2,0.07407407407407407,5,0.18518518518518517
278,technology,LDA,0,smartphone,27,5,0.18518518518518517,18,0.6666666666666666
279,technology,LDA,0,system,27,7,0.25925925925925924,21,0.7777777777777778
280,technology,LDA,0,android,27,4,0.14814814814814814,16,0.5925925925925926
281,technology,LDA,0,computer-related_introductions_by_year,27,9,0.3333333333333333,39,1.4444444444444444
282,technology,LDA,0,service,27,4,0.14814814814814814,16,0.5925925925925926
